Id,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,BldgType,HouseStyle,OverallQual,OverallCond,Foundation,BsmtQual,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,KitchenQual,Fireplaces,FireplaceQu,GarageQual,GarageCond,PoolQC,Fence,SaleCondition,SalePrice
1,60,RL,65,8450,Reg,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,0,NA,TA,TA,NA,NA,Normal,208500
2,20,RL,80,9600,Reg,1Fam,1Story,6,8,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,1,TA,TA,TA,NA,NA,Normal,181500
3,60,RL,68,11250,IR1,1Fam,2Story,7,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,NA,Normal,223500
4,70,RL,60,9550,IR1,1Fam,2Story,7,5,BrkTil,TA,Gd,GasA,Gd,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Abnorml,140000
5,60,RL,84,14260,IR1,1Fam,2Story,8,5,PConc,Gd,TA,GasA,Ex,Y,SBrkr,Gd,1,TA,TA,TA,NA,NA,Normal,250000
6,50,RL,85,14115,IR1,1Fam,1.5Fin,5,5,Wood,Gd,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,MnPrv,Normal,143000
7,20,RL,75,10084,Reg,1Fam,1Story,8,5,PConc,Ex,TA,GasA,Ex,Y,SBrkr,Gd,1,Gd,TA,TA,NA,NA,Normal,307000
8,60,RL,NA,10382,IR1,1Fam,2Story,7,6,CBlock,Gd,TA,GasA,Ex,Y,SBrkr,TA,2,TA,TA,TA,NA,NA,Normal,200000
9,50,RM,51,6120,Reg,1Fam,1.5Fin,7,5,BrkTil,TA,TA,GasA,Gd,Y,FuseF,TA,2,TA,Fa,TA,NA,NA,Abnorml,129900
10,190,RL,50,7420,Reg,2fmCon,1.5Unf,5,6,BrkTil,TA,TA,GasA,Ex,Y,SBrkr,TA,2,TA,Gd,TA,NA,NA,Normal,118000
11,20,RL,70,11200,Reg,1Fam,1Story,5,5,CBlock,TA,TA,GasA,Ex,Y,SBrkr,TA,0,NA,TA,TA,NA,NA,Normal,129500
